STT;Tên đầy đủ;Mã số doanh nghiệp;Sàn niêm yết;Mã chứng khoán
1405;CTCP Vinafco;0100108504;UPCOM;VFC
1406;CTCP Khử trùng Việt Nam;0302327629;HOSE;VFG
1407;Công ty CP Vận tải và Thuê tàu;0100105937;UPCOM;VFR
1408;Tổng công ty Viglacera - CTCP;0100108173;HOSE;VGC
1409;Tổng CTCP May Việt Tiến;0300401524;UPCOM;VGG
1410;Tổng Công ty CP Đầu tư Quốc tế Viettel;0102409426;UPCOM;VGI
1411;Công ty cổ phần Mạ kẽm công nghiệp Vingal - Vnsteel;3600239028;UPCOM;VGL
1412;CTCP Cảng Rau quả;0302336158;HNX;VGP
1413;CTCP Cảng xanh VIP;0201579242;UPCOM;VGR
1414;CTCP Ống thép Việt Đức VGPIPE;2500267703;HNX;VGS
1415;Tập đoàn Dệt May Việt Nam;0100100008;UPCOM;VGT
1416;Tổng công ty tư vấn xây dựng Việt Nam - CTCP;0100105278;UPCOM;VGV
1417;CTCP Vĩnh Hoàn;1400112623;HOSE;VHC
1418;CTCP Đầu tư phát triển nhà và đô thị Vinahud (tên cũ CTCP Đầu tư phát triển nhà và đô thị Vinaconex);0102294285;UPCOM;VHD
1419;CTCP Dược liệu và thực phẩm Việt Nam;0107409148;HNX;VHE
1420;CTCP Xây dựng và Chế biến Lương thực Vĩnh Hà;0100102830;UPCOM;VHF
1421;CTCP Đầu tư và Phát triển Việt Trung Nam;4000386181;UPCOM;VHG
1422;CTCP Đầu tư Kinh doanh Nhà Thành Đạt;3300365310;UPCOM;VHH
1423;CTCP Kinh doanh và Đầu tư Việt Hà;0100103721;;VHI
1424;CTCP Viglacera Hạ Long;5700101147;HNX;VHL
1425;Công ty Cổ phần VINHOMES;0102671977;HOSE;VHM
1426;Ngân hàng TMCP Quốc Tế Việt Nam;0100233488;HOSE;VIB
1427;Tập đoàn Vingroup - CTCP;0101245486;HOSE;VIC
1428;CTCP Đầu Tư Phát Triển Thương Mại Viễn Đông;0300377536;HOSE;VID
1429;CTCP Công nghệ Viễn Thông VITECO;0100686181;UPCOM;VIE
1430;Tổng công ty Lâm nghiệp Việt Nam - CTCP;0100102012;HNX;VIF
1431;Công ty cổ phần Viglacera Hà Nội;0100774247;UPCOM;VIH
1432;CTCP Khoáng sản Viglacera;5200284005;UPCOM;VIM
1433;CTCP Giao nhận Kho vận Ngoại thương Việt Nam;0300648264;UPCOM;VIN
1434;CTCP Vận tải xăng dầu VIPCO;0200113152;HOSE;VIP
1435;Công ty Cổ phần Du lịch Quốc tế Vũng Tàu;3500833679;UPCOM;VIR
1436;Công ty Cổ phần Viglacera Tiên Sơn;2300317851;HNX;VIT
1437;Tổng công ty Đầu tư Nước và Môi trường Việt Nam - CTCP;0100105976;UPCOM;VIW
1438;CTCP Hàng không VietJet;0102325399;HOSE;VJC
1439;CTCP VKC HOLDINGS;3700510650;UPCOM;VKC
1440;CTCP Nhựa Tân Hóa;0300627056;UPCOM;VKP
1441;Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang;0102459018;HNX;VLA
1442;CTCP Xây dựng và Sản xuất vật liệu xây dựng Biên Hòa;3600275107;UPCOM;VLB
1443;Tổng Công ty chăn nuôi Việt Nam - CTCP;0100104443;UPCOM;VLC
1444;CTCP Lương thực Thực Phẩm Vĩnh Long;1500170900;UPCOM;VLF
1445;Công ty cổ phần VIMC Logistics;0102345275;UPCOM;VLG
1446;CÔNG TY CỔ PHẦN CÔNG TRÌNH CÔNG CỘNG VĨNH LONG;1500169888;UPCOM;VLP
1447;CTCP Cấp nước Vĩnh Long;1500174831;UPCOM;VLW
1448;CTCP Công nghiệp ôtô - Vinacomin;5700353722;UPCOM;VMA
1449;Công ty Cổ phần Vimeco;0101338571;HNX;VMC
1450;Công ty cổ phần Y Dược phẩm Vimedimex;0300479760;HOSE;VMD
1451;CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu;3500755050;UPCOM;VMG
1452;Công ty Cổ phần Vimarko;0108720772;UPCOM;VMK
1453;CTCP Phát triển Hàng hải;0200580975;HNX;VMS
1454;CTCP Giao nhận Vận tải Miền Trung;0400426836;UPCOM;VMT
1455;CTCP Vận Tải Biển Vinaship;0200119965;UPCOM;VNA
1456;CTCP Sách Việt Nam;0100109829;UPCOM;VNB
1457;CTCP Tập đoàn Vinacontrol;0100107772;HNX;VNC
1458;Tổng CTCP Xây Dựng Điện Việt Nam;0400101450;HOSE;VNE
1459;CÔNG TY CP VINAFREIGHT;0302511219;HNX;VNF
1460;Công ty Cổ phần Du lịch Thành Thành Công;3500753423;HOSE;VNG
1461;CTCP Đầu tư Việt Việt Nhật;0302207804;UPCOM;VNH
1462;Công ty Cổ phần Đầu tư Bất động sản Việt Nam;0304867926;UPCOM;VNI
1463;CÔNG TY CP LOGISTICS VINALINK;0301776205;HOSE;VNL
1464;CÔNG TY CỔ PHẦN SỮA VIỆT NAM;0300588569;HOSE;VNM
1465;Công ty cổ phần Nhựa Việt Nam;0300381966;UPCOM;VNP
1466;Tổng CTCP Tái bảo hiểm quốc gia Việt Nam;28GP/KDBH;HNX;VNR
1467;CTCP Ánh Dương Việt Nam;0302035520;HOSE;VNS
1468;CTCP Giao nhận Vận tải Ngoại thương;0101352858;HNX;VNT
1469;Công ty Cổ phần Quảng cáo và Hội chợ thương mại Vinexad;0100108007;UPCOM;VNX
1470;Công ty Cổ phần Thuốc thú y Trung ương I;0100102326;UPCOM;VNY
1471;CÔNG TY CỔ PHẦN VNG;0303490096;UPCOM;VNZ
1472;Tổng công ty Công nghiệp Dầu thực vật Việt Nam-CTCP (Vocarimex);0300585984;UPCOM;VOC
1473;CTCP Vận tải biển Việt Nam;0200106490;HOSE;VOS
1474;CTCP Vận tải hóa dầu VP;0200809454;UPCOM;VPA
1475;Ngân hàng TMCP Việt Nam Thịnh Vượng;0100233583;HOSE;VPB
1476;CTCP Đầu tư và Phát triển năng lượng Việt Nam;0101601945;UPCOM;VPC
1477;CTCP Phát triển Điện lực Việt Nam;0101264520;HOSE;VPD
1478;CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát;0200826844;HOSE;VPG
1479;CTCP Vạn Phát Hưng;0301822194;HOSE;VPH
1480;CTCP Đầu tư Văn Phú - Invest (CTCP Phát triển Bất động sản Văn Phú);0102702590;HOSE;VPI
1481;CÔNG TY CỔ PHẦN VINPEARL;4200456848;HOSE;VPL
1482;Công ty cổ phần VINAPRINT;0301306457;UPCOM;VPR
1483;CTCP Thuốc sát trùng Việt Nam;0300408946;HOSE;VPS
1484;CTCP Cấp thoát nước số I Vĩnh Phúc;2500155742;UPCOM;VPW
1485;Công ty Cổ phần Giám định - Vinacomin;5700100552;UPCOM;VQC
